1.179940000000000033e+01,8.114150000000000529e-02
1.180790000000000006e+01,8.133410000000000639e-02
1.181569999999999965e+01,8.151049999999999962e-02
1.182380000000000031e+01,8.168409999999999560e-02
1.183200000000000074e+01,8.186440000000000383e-02
1.184050000000000047e+01,8.205320000000000669e-02
1.184849999999999959e+01,8.222390000000000254e-02
1.185650000000000048e+01,8.239939999999999765e-02
1.186449999999999960e+01,8.257200000000000650e-02
1.187320000000000064e+01,8.275129999999999986e-02
1.188139999999999930e+01,8.293150000000000521e-02
1.188879999999999981e+01,8.309560000000000557e-02
1.189710000000000001e+01,8.325770000000000393e-02
1.190590000000000082e+01,8.343789999999999540e-02
1.191380000000000017e+01,8.360769999999999313e-02
1.192169999999999952e+01,8.377650000000000374e-02
1.192970000000000041e+01,8.393190000000000373e-02
1.193820000000000014e+01,8.410360000000000058e-02
1.194650000000000034e+01,8.426279999999999881e-02
1.195439999999999969e+01,8.442020000000000080e-02
1.196269999999999989e+01,8.457570000000000365e-02
1.197100000000000009e+01,8.473490000000000189e-02
1.197910000000000075e+01,8.489040000000000474e-02
1.198709999999999987e+01,8.504009999999999347e-02
1.199510000000000076e+01,8.519079999999999708e-02
1.200370000000000026e+01,8.534809999999999619e-02
1.201110000000000078e+01,8.549020000000000230e-02
1.201960000000000051e+01,8.562759999999999816e-02
1.202769999999999939e+01,8.577629999999999977e-02
1.203630000000000067e+01,8.593649999999999900e-02
1.204410000000000025e+01,8.607860000000000511e-02
1.205240000000000045e+01,8.622169999999999834e-02
1.205990000000000073e+01,8.637240000000000195e-02
1.206900000000000084e+01,8.653550000000000131e-02
1.207690000000000019e+01,8.668900000000000217e-02
1.208520000000000039e+01,8.682919999999999527e-02
1.209309999999999974e+01,8.697989999999999888e-02
1.210159999999999947e+01,8.713150000000000062e-02
1.210970000000000013e+01,8.727360000000000673e-02
1.211769999999999925e+01,8.742619999999999558e-02
1.212630000000000052e+01,8.758159999999999556e-02
1.213349999999999973e+01,8.771990000000000343e-02
1.214230000000000054e+01,8.786109999999999753e-02
1.215029999999999966e+01,8.798980000000000690e-02
1.215889999999999915e+01,8.813479999999999925e-02
1.216670000000000051e+01,8.827590000000000436e-02
1.217489999999999917e+01,8.840270000000000072e-02
1.218260000000000076e+01,8.853719999999999646e-02
1.219159999999999933e+01,8.866789999999999394e-02
1.219940000000000069e+01,8.880040000000000155e-02
